Postcode,Period,ClassC_Count
02018,2025-01,1
10005,2025-06,1
10005,2025-07,1
10005,2025-12,1
10005,2026-01,4
10005,2026-07,2
10006,2025-08,2
10006,2025-09,1
10006,2025-11,2
10006,2026-01,1
10006,2026-05,48
10009,2025-01,70
10009,2025-02,2
10009,2025-03,6
10009,2025-04,5
10009,2025-05,15
10009,2025-06,57
10009,2025-07,68
10009,2025-08,76
10009,2025-09,95
10009,2025-10,86
10009,2025-11,192
10009,2025-12,158
10009,2026-01,111
10009,2026-02,152
10009,2026-03,82
10009,2026-04,88
10009,2026-05,60
10009,2026-06,51
10009,2026-07,86
10009,2026-08,43
10010,2025-01,14
10010,2025-03,3
10010,2025-05,8
10010,2025-06,34
10010,2025-07,12
10010,2025-08,3
10010,2025-09,22
10010,2025-10,15
10010,2025-11,37
10010,2025-12,15
10010,2026-01,29
10010,2026-02,37
10010,2026-03,35
10010,2026-04,18
10010,2026-05,12
10010,2026-06,31
10010,2026-07,13
10010,2026-08,18
10030,2025-01,298
10030,2025-02,13
10030,2025-03,9
10030,2025-04,14
10030,2025-05,41
10030,2025-06,242
10030,2025-07,187
10030,2025-08,225
10030,2025-09,232
10030,2025-10,215
10030,2025-11,198
10030,2025-12,262
10030,2026-01,277
10030,2026-02,240
10030,2026-03,174
10030,2026-04,235
10030,2026-05,155
10030,2026-06,196
10030,2026-07,203
10030,2026-08,65
10038,2025-05,3
10038,2025-06,32
10038,2025-07,11
10038,2025-09,18
10038,2025-10,29
10038,2025-11,17
10038,2025-12,23
10038,2026-01,13
10038,2026-02,14
10038,2026-03,13
10038,2026-04,6
10038,2026-05,2
10038,2026-08,7
10039,2025-01,178
10039,2025-02,13
10039,2025-03,5
10039,2025-04,17
10039,2025-05,44
10039,2025-06,174
10039,2025-07,131
10039,2025-08,186
10039,2025-09,212
10039,2025-10,233
10039,2025-11,212
10039,2025-12,260
10039,2026-01,288
10039,2026-02,268
10039,2026-03,250
10039,2026-04,155
10039,2026-05,103
10039,2026-06,124
10039,2026-07,104
10039,2026-08,66
10454,2025-01,295
10454,2025-02,22
10454,2025-03,38
10454,2025-04,19
10454,2025-05,53
10454,2025-06,117
10454,2025-07,205
10454,2025-08,265
10454,2025-09,204
10454,2025-10,218
10454,2025-11,230
10454,2025-12,306
10454,2026-01,187
10454,2026-02,233
10454,2026-03,241
10454,2026-04,104
10454,2026-05,124
10454,2026-06,153
10454,2026-07,147
10454,2026-08,42
10475,2025-01,10
10475,2025-02,2
10475,2025-03,1
10475,2025-06,13
10475,2025-07,7
10475,2025-08,15
10475,2025-09,21
10475,2025-10,4
10475,2025-11,13
10475,2025-12,13
10475,2026-01,32
10475,2026-02,210
10475,2026-03,18
10475,2026-04,40
10475,2026-05,10
10475,2026-06,4
10475,2026-07,10
10475,2026-08,6
