Postcode,ClassA,ClassB,ClassC,Total,ClassC_Pct
02018,0,0,1,1,100.0
10006,19,17,54,90,60.0
10038,141,95,188,424,44.3396
10475,218,433,429,1080,39.7222
10005,2,14,9,25,36.0
10010,298,346,356,1000,35.6
10009,1034,1694,1503,4231,35.5235
10030,2154,4173,3481,9808,35.4914
10039,1414,4090,3023,8527,35.4521
10454,2028,3849,3203,9080,35.2753
11210,1877,4380,3407,9664,35.2546
10453,5511,14843,10977,31331,35.0356
11355,1627,2189,2051,5867,34.9582
11372,2093,4219,3385,9697,34.9077
10033,2098,5773,4188,12059,34.7292
10452,5256,13442,9854,28552,34.5125
10468,5361,12478,9337,27176,34.3575
10463,2431,4330,3513,10274,34.1931
10032,2747,7595,5346,15688,34.077
11415,605,689,668,1962,34.0469
11375,839,1096,998,2933,34.0266
11360,82,64,75,221,33.9367
10457,6057,15695,11062,32814,33.7112
11432,1414,1970,1714,5098,33.621
10040,1779,5682,3773,11234,33.5855
10458,7059,17725,12531,37315,33.5817
10031,3760,8697,6282,18739,33.5237
10456,5905,13426,9674,29005,33.3529
10280,6,28,17,51,33.3333
11427,133,208,170,511,33.2681
10025,1735,2923,2302,6960,33.0747
10026,1803,3958,2837,8598,32.996
10451,2688,6457,4484,13629,32.9004
10460,4154,9400,6630,20184,32.8478
11374,918,1441,1153,3512,32.8303
10027,3013,5267,4013,12293,32.6446
11435,1593,1779,1633,5005,32.6274
10019,879,1249,1028,3156,32.5729
10029,2188,4814,3368,10370,32.4783
10467,6783,12399,9179,28361,32.3649
11692,664,1034,812,2510,32.3506
10001,339,367,337,1043,32.3106
11213,4242,7928,5809,17979,32.3099
10034,1531,4903,3070,9504,32.3022
10035,1886,3763,2687,8336,32.2337
10044,68,112,85,265,32.0755
11226,8382,18479,12677,39538,32.0628
10018,184,230,195,609,32.0197
11109,9,8,8,25,32.0
11225,3886,8222,5675,17783,31.9125
10462,3472,5240,4076,12788,31.8736
10024,1029,1037,966,3032,31.8602
10007,46,29,35,110,31.8182
11367,799,1648,1138,3585,31.7434
11212,4970,7790,5876,18636,31.5304
10459,4164,8351,5760,18275,31.5185
11104,1080,1479,1177,3736,31.5043
11428,122,170,134,426,31.4554
10470,922,1343,1037,3302,31.4052
10037,789,1900,1230,3919,31.3856
11230,3073,5398,3863,12334,31.3199
11366,121,119,109,349,31.2321
10128,631,712,607,1950,31.1282
10473,1173,1977,1417,4567,31.0269
10012,570,519,489,1578,30.9886
10455,2972,5428,3717,12117,30.6759
11422,135,321,201,657,30.5936
10466,3614,4835,3695,12144,30.4265
10065,430,328,329,1087,30.2668
10023,668,501,506,1675,30.209
11373,3021,2760,2495,8276,30.1474
11224,1049,1541,1115,3705,30.0945
11354,1160,1744,1249,4153,30.0746
10014,760,440,516,1716,30.0699
11203,3924,6814,4605,15343,30.0137
11691,1815,2828,1991,6634,30.0121
10003,1129,1102,950,3181,29.8648
11209,1922,2484,1870,6276,29.796
11106,1297,918,940,3155,29.794
11423,412,587,421,1420,29.6479
11207,5112,6429,4844,16385,29.5636
10016,681,581,527,1789,29.4578
10472,4362,5677,4176,14215,29.3774
10304,1350,3086,1844,6280,29.3631
10002,1252,1369,1073,3694,29.0471
11101,890,639,625,2154,29.0158
11208,3563,4290,3188,11041,28.8742
10013,642,418,430,1490,28.8591
10471,457,726,479,1662,28.8207
10021,376,267,260,903,28.7929
11229,1299,2312,1448,5059,28.6223
10028,596,684,509,1789,28.4516
10474,969,1706,1062,3737,28.4185
11237,2990,2815,2299,8104,28.3687
10461,2472,2511,1944,6927,28.0641
11233,5509,7392,4905,17806,27.5469
11103,1654,872,959,3485,27.5179
10069,12,12,9,33,27.2727
11434,557,1083,615,2255,27.2727
11377,2367,2037,1642,6046,27.1585
11238,3492,3561,2619,9672,27.0782
10011,1076,738,669,2483,26.9432
10022,432,343,285,1060,26.8868
11218,3180,3875,2589,9644,26.8457
11234,751,962,624,2337,26.7009
10036,804,911,622,2337,26.6153
11356,464,293,274,1031,26.5761
11232,1297,1143,876,3316,26.4174
11206,3116,2570,2038,7724,26.3853
11216,4791,5537,3689,14017,26.318
11235,2423,2819,1867,7109,26.2625
11412,325,547,307,1179,26.039
11221,5483,5402,3826,14711,26.0077
10075,320,298,214,832,25.7212
11102,1566,1062,900,3528,25.5102
11236,1347,2192,1210,4749,25.479
11420,275,367,219,861,25.4355
11413,206,501,240,947,25.3432
11421,651,579,416,1646,25.2734
11365,675,415,367,1457,25.1887
11239,314,281,198,793,24.9685
10302,292,895,395,1582,24.9684
11411,49,151,66,266,24.812
11385,4714,2183,2236,9133,24.4826
10301,1252,2399,1182,4833,24.4569
11429,167,312,155,634,24.4479
11418,960,984,629,2573,24.4462
10469,2445,2264,1516,6225,24.3534
11357,134,97,74,305,24.2623
10312,76,240,99,415,23.8554
10310,359,637,311,1307,23.795
11223,2371,1993,1346,5710,23.5727
11211,3763,2431,1907,8101,23.5403
11369,696,527,369,1592,23.1784
11220,4314,2961,2193,9468,23.1622
11201,1478,685,651,2814,23.1343
11419,768,548,392,1708,22.9508
11414,316,149,138,603,22.8856
11433,750,774,448,1972,22.7181
11214,3646,2294,1742,7682,22.6764
11693,193,126,91,410,22.1951
11694,641,334,272,1247,21.8123
10303,414,1396,502,2312,21.7128
11368,3992,2161,1695,7848,21.5979
10307,24,31,15,70,21.4286
10305,450,577,279,1306,21.3629
10306,317,594,234,1145,20.4367
11358,666,335,257,1258,20.4293
11426,40,50,23,113,20.354
10464,82,146,58,286,20.2797
11215,4142,1898,1531,7571,20.2219
11217,2188,779,743,3710,20.027
02016,0,4,1,5,20.0
10282,3,5,2,10,20.0
11205,1748,1042,691,3481,19.8506
11222,2459,882,825,4166,19.8032
10017,156,105,64,325,19.6923
11364,247,127,91,465,19.5699
11204,3285,2030,1293,6608,19.5672
10004,23,10,8,41,19.5122
11249,1050,437,352,1839,19.1408
11105,1224,470,397,2091,18.9861
11417,674,395,243,1312,18.5213
11362,31,23,12,66,18.1818
10465,772,467,274,1513,18.1097
11363,56,80,30,166,18.0723
10314,470,660,247,1377,17.9375
11361,293,110,88,491,17.9226
11436,168,280,97,545,17.7982
11004,11,23,7,41,17.0732
11378,778,251,209,1238,16.8821
11219,4663,2509,1435,8607,16.6725
11231,2327,1042,659,4028,16.3605
11416,700,265,185,1150,16.087
11379,593,215,149,957,15.5695
10308,102,159,39,300,13.0
11001,16,32,7,55,12.7273
10309,59,108,21,188,11.1702
11228,1308,400,206,1914,10.7628
11370,602,116,86,804,10.6965
11430,1,0,0,1,0.0
00418,1,0,0,1,0.0
10105,1,0,0,1,0.0
11040,12,3,0,15,0.0
03366,0,4,0,4,0.0
11005,0,3,0,3,0.0
00000,0,2,0,2,0.0
